,Name,Salary,Season2
0,Stephen Curry,"$37,457,154.00 ",2018-2019
1,LeBron James,"$35,654,150.00 ",2018-2019
2,Blake Griffin,"$32,088,932.00 ",2018-2019
3,Kyle Lowry,"$31,200,000.00 ",2018-2019
4,Mike Conley,"$30,521,115.00 ",2018-2019
5,Kevin Durant,"$30,000,000.00 ",2018-2019
6,Al Horford,"$28,928,709.00 ",2018-2019
7,DeMar DeRozan,"$27,739,975.00 ",2018-2019
8,Jrue Holiday,"$25,976,111.00 ",2018-2019
9,Joel Embiid,"$25,467,250.00 ",2018-2019
10,Bradley Beal,"$25,434,263.00 ",2018-2019
11,Andre Drummond,"$25,434,263.00 ",2018-2019
12,Nikola Jokic,"$24,605,181.00 ",2018-2019
13,Giannis Antetokounmpo,"$24,157,303.00 ",2018-2019
14,Kevin Love,"$24,119,025.00 ",2018-2019
15,Chandler Parsons,"$24,107,258.00 ",2018-2019
16,Rudy Gobert,"$23,241,573.00 ",2018-2019
17,DeAndre Jordan,"$22,897,200.00 ",2018-2019
18,Serge Ibaka,"$21,666,667.00 ",2018-2019
19,Danilo Gallinari,"$21,587,579.00 ",2018-2019
20,Chris Paul,"$35,654,150.00 ",2018-2019
21,Russell Westbrook,"$35,654,150.00 ",2018-2019
22,Gordon Hayward,"$31,214,295.00 ",2018-2019
23,Paul George,"$30,560,700.00 ",2018-2019
24,James Harden,"$30,421,854.00 ",2018-2019
25,Paul Millsap,"$29,230,769.00 ",2018-2019
26,Damian Lillard,"$27,977,689.00 ",2018-2019
27,Otto Porter Jr.,"$26,011,913.00 ",2018-2019
28,CJ McCollum,"$25,759,766.00 ",2018-2019
29,Andrew Wiggins,"$25,467,250.00 ",2018-2019
30,Anthony Davis,"$25,434,263.00 ",2018-2019
31,Hassan Whiteside,"$25,434,262.00 ",2018-2019
32,Steven Adams,"$24,157,303.00 ",2018-2019
33,Marc Gasol,"$24,119,025.00 ",2018-2019
34,Harrison Barnes,"$24,107,258.00 ",2018-2019
35,Nicolas Batum,"$24,000,000.00 ",2018-2019
36,Kawhi Leonard,"$23,114,067.00 ",2018-2019
37,LaMarcus Aldridge,"$22,347,015.00 ",2018-2019
38,Aaron Gordon,"$21,590,909.00 ",2018-2019
39,Victor Oladipo,"$21,000,000.00 ",2018-2019
40,Jimmy Butler,"$20,445,779.00 ",2018-2019
41,Kyrie Irving,"$20,099,189.00 ",2018-2019
42,Zach LaVine,"$19,500,000.00 ",2018-2019
43,Tim Hardaway Jr.,"$19,200,127.00 ",2018-2019
44,George Hill,"$19,000,000.00 ",2018-2019
45,Klay Thompson,"$18,988,725.00 ",2018-2019
46,Goran Dragic,"$18,109,175.00 ",2018-2019
47,Evan Turner,"$17,868,853.00 ",2018-2019
48,Tristan Thompson,"$17,469,565.00 ",2018-2019
49,Reggie Jackson,"$17,043,478.00 ",2018-2019
50,Derrick Favors,"$16,900,000.00 ",2018-2019
51,Gary Harris,"$16,517,857.00 ",2018-2019
52,Andre Iguodala,"$16,000,000.00 ",2018-2019
53,Dennis Schroder,"$15,500,000.00 ",2018-2019
54,Gorgui Dieng,"$15,170,787.00 ",2018-2019
55,Eric Bledsoe,"$15,000,000.00 ",2018-2019
56,Tobias Harris,"$14,800,000.00 ",2018-2019
57,James Johnson,"$14,651,700.00 ",2018-2019
58,Brandon Knight,"$14,631,250.00 ",2018-2019
59,Marvin Williams,"$14,087,500.00 ",2018-2019
60,Ryan Anderson,"$20,421,546.00 ",2018-2019
61,Jabari Parker,"$20,000,000.00 ",2018-2019
62,Tyler Johnson,"$19,356,932.00 ",2018-2019
63,John Wall,"$19,169,800.00 ",2018-2019
64,Jeff Teague,"$19,000,000.00 ",2018-2019
65,Allen Crabbe,"$18,500,000.00 ",2018-2019
66,Kent Bazemore,"$18,089,887.00 ",2018-2019
67,Draymond Green,"$17,469,565.00 ",2018-2019
