,FULL NAME,TEAM,POS,AGE,PPG,APG,MPG,RPG,SPG,BPG,season,Salary
0,Bradley Beal,Was,SG,24.0,22.6,4.5,36.3,4.4,1.18,0.44,2017-2018,25434263.0
1,Jrue Holiday,Nor,PG,27.0,19.0,6.0,36.1,4.5,1.52,0.79,2017-2018,25686667.0
2,CJ McCollum,Por,SG,26.0,21.4,3.4,36.1,4.0,0.95,0.43,2017-2018,23962573.0
3,Dwight Howard,Cha,C,32.0,16.6,1.3,30.4,12.5,0.59,1.62,2017-2018,23819725.0
4,DeMar DeRozan,Tor,SG,28.0,23.0,5.2,33.9,3.9,1.06,0.28,2017-2018,27739975.0
5,Russell Westbrook,Okc,PG,29.0,25.4,10.3,36.4,10.1,1.84,0.25,2017-2018,28530608.0
6,Paul George,Okc,SF,27.0,21.9,3.3,36.6,5.7,2.04,0.49,2017-2018,19508958.0
7,Andre Drummond,Det,C,24.0,15.0,3.0,33.7,16.0,1.46,1.63,2017-2018,25434263.0
8,Carmelo Anthony,Okc,SF,33.0,16.2,1.3,32.1,5.8,0.6,0.63,2017-2018,26243760.0
9,Kyle Lowry,Tor,PG,31.0,16.2,6.9,32.2,5.6,1.09,0.24,2017-2018,31200000.0
10,Otto Porter Jr.,Was,SF,24.0,14.7,2.0,31.6,6.4,1.51,0.53,2017-2018,26011913.0
11,DeAndre Jordan,Lac,C,29.0,12.0,1.5,31.5,15.2,0.51,0.92,2017-2018,22642350.0
12,Harrison Barnes,Dal,SF,25.0,18.9,2.0,34.2,6.1,0.64,0.18,2017-2018,23112004.0
13,Serge Ibaka,Tor,PF,28.0,12.6,0.8,27.5,6.3,0.38,1.3,2017-2018,21666667.0
14,Steven Adams,Okc,C,24.0,13.9,1.2,32.7,9.0,1.21,1.03,2017-2018,22471910.0
15,Victor Oladipo,Ind,SG,25.0,23.1,4.3,34.0,5.2,2.35,0.76,2017-2018,21000000.0
16,Anthony Davis,Nor,PF,24.0,28.1,2.3,36.4,11.1,1.53,2.57,2017-2018,23775506.0
17,Giannis Antetokounmpo,Mil,PF,23.0,26.9,4.8,36.8,10.0,1.45,1.41,2017-2018,24157303.0
18,LaMarcus Aldridge,San,PF,32.0,23.1,2.0,33.4,8.5,0.57,1.2,2017-2018,21461010.0
19,Brook Lopez,Lal,C,29.0,13.0,1.7,23.4,4.0,0.39,1.32,2017-2018,22642650.0
20,Damian Lillard,Por,PG,27.0,26.9,6.6,36.6,4.5,1.05,0.37,2017-2018,26153057.0
21,Marc Gasol,Mem,C,33.0,17.2,4.2,33.0,8.1,0.74,1.4,2017-2018,22642350.0
22,James Harden,Hou,PG,28.0,30.4,8.8,35.4,5.4,1.76,0.69,2017-2018,28299399.0
23,Tyler Johnson,Mia,SG,25.0,11.7,2.3,28.5,3.4,0.83,0.47,2017-2018,19245370.0
24,Al Horford,Bos,C,31.0,12.9,4.7,31.6,7.4,0.6,1.08,2017-2018,27734406.0
25,Ryan Anderson,Hou,PF,29.0,9.3,0.9,26.1,5.0,0.36,0.32,2017-2018,19578455.0
26,Nicolas Batum,Cha,SG,29.0,11.6,5.5,31.0,4.8,1.02,0.36,2017-2018,24000000.0
27,Joel Embiid,Phi,C,23.0,22.9,3.2,30.3,10.9,0.63,1.78,2017-2018,25250000.0
28,Jimmy Butler,Min,SF,28.0,22.2,4.9,36.7,5.3,1.97,0.41,2017-2018,19301070.0
29,Kevin Love,Cle,PF,29.0,17.6,1.7,28.0,9.3,0.73,0.41,2017-2018,24119025.0
30,Chris Paul,Hou,PG,32.0,18.6,7.9,31.8,5.4,1.67,0.22,2017-2018,24599495.0
31,Rudy Gobert,Uta,C,25.0,13.5,1.4,32.4,10.7,0.79,2.3,2017-2018,21924719.0
32,Hassan Whiteside,Mia,C,28.0,14.0,1.0,25.3,11.4,0.69,1.74,2017-2018,25434262.0
33,Stephen Curry,Gol,PG,29.0,26.4,6.1,32.0,5.1,1.57,0.16,2017-2018,37457154.0
34,Paul Millsap,Den,PF,32.0,14.6,2.8,29.5,6.4,1.03,1.16,2017-2018,31269231.0
35,Chandler Parsons,Mem,SF,29.0,7.9,1.9,19.2,2.5,0.5,0.31,2017-2018,23112004.0
36,Blake Griffin,Lac,PF,28.0,22.6,5.4,34.5,7.9,0.91,0.27,2017-2018,32088932.0
37,Danilo Gallinari,Lac,SF,29.0,15.3,2.0,32.0,4.8,0.57,0.48,2017-2018,20559599.0
38,Mike Conley,Mem,PG,30.0,17.1,4.1,31.1,2.3,1.0,0.25,2017-2018,28530608.0
39,Gordon Hayward,Bos,SF,27.0,2.0,0.0,5.3,1.0,0.0,0.0,2017-2018,29727900.0
40,Cory Joseph,Ind,G,27.64,6.5,3.9,25.2,3.4,1.13,0.27,2018-2019,7945000.0
